Money Supply,S&P 500,DOW,NASDAQ
1494.6,115.12,881.48,162.3
1502.2,102.18,784.47,133.14
1512.3,105.46,808.79,139.68
1545.5,114.93,872.27,158.17
1561.5,121.21,931.48,172.49
1584.8,127.13,939.42,189.62
1599.8,137.21,969.45,204.91
1659.2,136.57,1014.14,211.34
1664.2,132.72,995.59,216.68
1670.3,132.41,997.96,223.02
1681.9,129.77,967.66,214.63
1706.0,123.02,882.71,195.17
1721.8,117.08,852.26,181.09
1755.5,126.1,890.22,201.13
1774.5,117.78,851.69,186.82
1786.5,113.31,828.39,180.13
1803.9,113.79,833.24,177.31
1826.0,111.68,814.97,177.36
1831.5,108.71,803.27,170.6
1858.4,118.25,895.05,177.3
1869.7,121.97,907.74,188.7
1883.7,135.47,1005.7,214.52
1905.9,138.72,1031.09,235.59
1996.8,142.96,1059.79,248.15
2015.2,150.88,1130.71,261.82
2053.5,162.55,1202.21,307.95
2064.8,168.64,1225.26,321.58
2074.0,162.04,1194.21,302.08
2083.2,164.23,1206.81,294.55
2112.3,163.66,1229.27,273.04
2123.5,166.49,1275.1,286.07
2158.2,162.74,1212.31,266.43
2175.2,158.19,1159.44,253.5
2204.1,161.68,1183.0,250.26
2215.1,153.24,1124.35,235.9
2230.4,154.08,1134.61,233.35
2258.9,164.62,1198.98,247.86
2281.4,167.49,1217.09,248.0
2354.1,178.63,1277.72,278.4
2366.2,183.23,1299.36,287.2
2375.4,181.27,1272.75,280.3
2389.5,178.37,1242.05,279.6
2429.5,192.43,1337.14,296.5
2444.0,192.11,1355.62,304.0
2468.0,185.07,1340.95,281.8
2477.8,191.53,1390.25,294.1
2557.8,235.14,1790.11,374.2
2584.8,235.16,1777.78,381.7
2626.6,252.04,1903.54,407.6
2646.5,234.91,1763.64,370.7
2687.4,233.6,1782.9,352.3
2728.0,249.05,1912.54,357.9
2767.7,292.38,2316.05,428.3
2772.9,288.03,2280.4,418.4
2774.6,289.83,2288.23,415.0
2779.0,302.94,2409.76,424.5
2799.5,323.4,2610.97,452.5
2814.8,327.33,2639.2,448.5
2826.4,232.0,1842.34,305.2
2870.4,255.04,1944.63,346.2
2890.7,267.22,2070.47,367.3
2938.4,266.69,2064.01,374.8
2947.2,271.78,2131.58,394.7
2952.0,272.21,2130.51,388.0
2956.9,258.35,2002.31,373.0
2980.2,279.06,2150.96,382.4
2988.2,272.49,2101.88,373.9
2992.2,297.09,2338.21,403.2
2999.7,287.11,2243.04,399.8
3011.6,309.12,2414.96,427.5
3027.9,321.97,2490.63,448.3
3074.4,343.75,2641.12,453.3
3092.5,353.73,2752.09,471.3
3133.3,341.2,2645.9,456.6
3152.5,350.63,2747.65,457.1
3179.2,328.79,2586.26,417.8
3190.1,332.74,2635.59,427.2
3200.6,332.25,2668.92,421.9
3213.7,363.16,2900.97,462.1
3242.0,355.52,2899.26,435.9
3259.3,314.94,2515.84,354.7
3262.6,307.02,2454.95,330.6
3304.5,343.05,2730.69,417.7
