year,month,top_tier_home_value,mid_tier_home_value,bottom_tier_home_value,single_family_home_value,condo_coop_value,quarter
1996,1,203823.28,114909.11,64375.07,116736.33,105756.43,1
1996,2,203805.72,114922.83,64395.5,116743.15,105775.54,1
1996,3,203807.37,114954.04,64427.39,116771.89,105792.5,1
1996,4,203852.98,115038.41,64503.04,116847.37,105886.52,2
1996,5,203892.91,115136.8,64586.02,116935.09,105976.96,2
1996,6,203979.43,115264.02,64681.91,117045.37,106084.0,2
1996,7,204077.52,115396.15,64778.8,117161.89,106160.24,3
1996,8,204313.48,115585.7,64906.39,117339.43,106277.35,3
1996,9,204577.33,115781.96,65040.04,117530.37,106410.15,3
1996,10,204932.26,116008.61,65190.8,117753.72,106577.37,4
1996,11,205292.24,116238.33,65344.54,117981.24,106787.5,4
1996,12,205708.54,116488.98,65512.46,118232.33,107032.37,4
1997,1,206118.7,116702.2,65662.0,118455.33,107240.91,1
1997,2,206576.43,116949.26,65826.96,118715.78,107440.76,1
1997,3,207044.22,117205.65,65991.3,118980.7,107651.15,1
1997,4,207507.54,117501.3,66170.33,119279.76,107818.35,2
1997,5,208036.96,117808.39,66359.02,119591.43,108007.35,2
1997,6,208553.59,118105.8,66541.96,119894.87,108214.52,2
1997,7,209100.13,118420.46,66740.61,120212.52,108552.46,3
1997,8,209513.28,118670.83,66906.11,120463.48,108853.17,3
1997,9,209942.39,118931.22,67077.96,120723.67,109145.17,3
1997,10,210319.0,119183.13,67241.72,120975.48,109370.33,4
1997,11,210786.87,119480.41,67432.41,121276.7,109596.37,4
1997,12,211304.85,119811.09,67643.09,121613.59,109817.54,4
1998,1,211962.65,120252.17,67908.78,122054.52,110145.74,1
1998,2,212579.93,120674.61,68170.28,122474.43,110496.61,1
1998,3,213224.67,121100.89,68437.39,122896.98,110884.61,1
1998,4,213966.3,121556.19,68797.09,123320.68,111525.45,2
1998,5,214360.56,121917.1,69192.23,123640.56,114104.56,2
1998,6,215019.08,122267.65,69436.23,124022.92,114381.44,2
1998,7,215770.1,122644.42,69688.12,124437.73,114610.81,3
1998,8,216601.67,123095.19,69977.94,124924.54,114847.12,3
1998,9,217519.81,123605.79,70292.04,125461.23,115188.27,3
1998,10,218462.46,124136.06,70624.48,126015.75,115616.56,4
1998,11,219315.77,124609.44,70916.1,126506.79,116001.56,4
1998,12,220072.65,125036.19,71175.19,126941.44,116427.17,4
1999,1,220698.56,125414.25,71411.1,127316.54,116812.27,1
1999,2,221466.27,125863.65,71693.83,127763.17,117276.88,1
1999,3,222298.92,126352.71,72003.69,128256.15,117691.65,1
1999,4,223369.33,126935.77,72354.92,128851.29,118164.33,2
1999,5,224395.17,127488.94,72689.88,129413.98,118644.75,2
1999,6,225537.29,128101.4,73049.96,130027.15,119247.48,2
1999,7,226670.79,128725.35,73417.44,130653.56,119821.85,3
1999,8,227745.77,129294.9,73757.69,131230.08,120337.92,3
1999,9,228734.79,129819.79,74079.08,131763.15,120784.9,3
1999,10,229738.29,130343.62,74399.4,132295.71,121289.15,4
1999,11,230966.79,131006.35,74807.96,132969.21,121900.1,4
1999,12,232283.27,131705.56,75237.08,133690.83,122451.79,4
2000,1,233750.62,132462.25,75694.73,134478.31,123058.08,1
2000,2,235169.04,133199.02,76125.0,135241.27,123671.54,1
2000,3,236595.9,133939.81,76558.9,135997.9,124402.96,1
2000,4,237908.25,134651.4,76982.73,136714.94,125112.62,2
2000,5,239266.85,135390.6,77425.29,137459.48,125860.12,2
2000,6,240562.35,136117.65,77856.98,138194.73,126581.92,2
2000,7,241885.25,136854.79,78291.27,138936.12,127361.21,3
2000,8,243251.5,137612.27,78739.79,139699.17,128129.79,3
2000,9,244697.85,138402.02,79213.17,140496.0,128922.71,3
2000,10,246161.98,139197.44,79688.6,141296.88,129648.88,4
2000,11,247622.42,140001.96,80162.15,142103.23,130384.67,4
2000,12,249160.62,140853.54,80662.19,142950.04,131198.65,4
2001,1,250755.79,141744.52,81197.12,143842.4,132028.21,1
2001,2,252036.14,142426.45,81694.22,144478.88,133268.96,1
2001,3,253534.33,143296.0,82214.31,145360.71,134070.67,1
2001,4,255016.14,144156.96,82723.31,146233.53,134924.71,2
2001,5,256489.57,145037.59,83240.43,147122.35,135761.84,2
2001,6,257939.16,145893.69,83749.47,147981.37,136547.31,2
2001,7,259370.16,146741.94,84253.96,148830.04,137339.33,3
2001,8,260839.18,147607.86,84768.47,149695.92,138168.78,3
2001,9,262290.18,148462.51,85269.41,150550.82,139014.31,3
2001,10,263753.78,149335.47,85775.31,151424.33,139887.14,4
2001,11,265157.1,150167.22,86259.8,152258.16,140742.57,4
2001,12,266540.0,150999.12,86745.73,153097.29,141572.06,4
2002,1,267850.86,151789.06,87206.57,153892.84,142347.2,1
2002,2,269199.59,152604.47,87685.43,154715.06,143076.96,1
2002,3,270567.73,153415.82,88169.39,155528.37,143824.76,1
2002,4,272020.45,154269.57,88675.59,156385.63,144586.2,2
2002,5,273455.29,155098.76,89162.41,157219.73,145355.16,2
2002,6,274950.71,155960.39,89659.14,158090.45,146114.47,2
2002,7,276509.51,156852.33,90178.61,158996.37,146891.22,3
2002,8,278131.73,157792.2,90722.76,159945.53,147763.61,3
2002,9,278010.12,157998.58,91020.04,160128.46,147822.56,3
2002,10,279681.6,158988.6,91587.66,161135.34,148762.52,4
2002,11,281461.78,160051.8,92201.12,162225.7,149717.16,4
2002,12,283272.36,161121.88,92826.26,163324.44,150679.48,4
2003,1,285116.54,162208.74,93470.78,164436.42,151680.1,1
2003,2,286938.8,163277.68,94105.48,165526.76,152704.02,1
2003,3,288736.68,164337.46,94716.28,166609.26,153729.5,1
2003,4,290461.72,165376.26,95323.94,167673.04,154717.94,2
2003,5,292200.02,166438.98,95956.42,168763.28,155751.5,2
2003,6,293906.34,167495.58,96598.44,169843.5,156854.0,2
2003,7,295641.7,168578.18,97254.88,170949.06,157987.94,3
2003,8,297510.68,169728.84,97954.5,172131.34,159073.74,3
2003,9,299545.74,170967.34,98710.82,173405.64,160098.74,3
2003,10,301731.52,172271.44,99512.06,174747.96,161138.6,4
2003,11,303856.0,173523.92,100271.54,176027.88,162204.0,4
2003,12,305978.28,174774.36,101027.38,177300.12,163311.14,4
2004,1,308230.5,176089.9,101804.9,178645.34,164509.58,1
2004,2,310661.46,177518.78,102656.76,180105.4,165818.12,1
2004,3,313198.36,179021.76,103556.56,181645.08,167129.62,1
2004,4,315743.02,180535.18,104467.42,183191.78,168460.9,2
2004,5,318543.9,182196.14,105463.06,184895.66,169842.42,2
2004,6,321626.34,184008.1,106549.62,186760.5,171340.68,2
2004,7,324869.04,185900.84,107688.36,188709.46,172850.16,3
2004,8,327883.0,187660.86,108742.66,190516.32,174294.36,3
2004,9,330763.16,189347.82,109756.98,192237.94,175792.74,3
2004,10,333646.24,191064.28,110786.56,193987.66,177352.34,4
2004,11,336668.92,192875.76,111885.26,195839.06,178958.98,4
2004,12,339782.82,194755.52,113029.14,197763.04,180541.22,4
2005,1,342805.1,196588.96,114172.18,199632.98,182056.8,1
2005,2,345915.64,198472.96,115341.6,201565.94,183535.46,1
2005,3,346517.43,199203.53,115994.37,202311.51,183590.9,1
2005,4,349816.55,201159.51,117187.59,204331.37,185230.92,2
2005,5,353056.47,203067.02,118359.76,206286.47,186891.45,2
2005,6,356271.8,204988.2,119544.12,208259.55,188495.71,2
2005,7,359519.45,206936.65,120739.75,210260.12,190188.35,3
2005,8,362907.47,208979.75,122000.47,212364.8,192023.47,3
2005,9,366388.82,211075.43,123278.12,214521.1,193920.8,3
2005,10,369655.0,213029.04,124493.96,216535.08,195714.12,4
2005,11,372665.04,214834.94,125628.47,218395.18,197327.88,4
2005,12,375408.76,216474.47,126669.27,220088.47,198836.16,4
