year,quarter,top_tier_home_value,mid_tier_home_value,bottom_tier_home_value,single_family_home_value,condo_coop_value
1996,1,203812.12,114928.66,64399.32,116750.46,105774.83
1996,2,203908.44,115146.41,64590.33,116942.61,105982.49
1996,3,204322.78,115587.93,64908.41,117343.9,106282.58
1996,4,205311.01,116245.3,65349.27,117989.09,106799.08
1997,1,206579.78,116952.37,65826.75,118717.27,107444.28
1997,2,208032.7,117805.17,66357.1,119588.69,108013.41
1997,3,209518.6,118674.17,66908.22,120466.56,108850.27
1997,4,210803.57,119491.54,67439.07,121288.59,109594.75
1998,1,212589.09,120675.89,68172.15,122475.31,110508.99
1998,2,214452.02,121916.15,69144.26,123663.77,113349.82
1998,3,216630.53,123115.13,69986.03,124941.17,114882.07
1998,4,219283.62,124593.9,70905.26,126487.99,116015.1
1999,1,221487.92,125876.87,71702.88,127778.62,117260.26
1999,2,224433.93,127508.7,72698.25,129430.81,118685.52
1999,3,227717.12,129280.01,73751.4,131215.6,120314.89
1999,4,230996.12,131018.51,74814.81,132985.25,121880.35
2000,1,235171.85,133200.36,76126.21,135239.16,123710.86
2000,2,239245.82,135386.55,77421.67,137456.38,125851.56
2000,3,243278.2,137623.03,78748.08,139710.43,128137.9
2000,4,247648.34,140017.65,80170.98,142116.72,130410.73
2001,1,252118.02,142494.09,81705.34,144565.58,133130.11
2001,2,256481.63,145029.41,83237.73,147112.41,135744.62
2001,3,260833.18,147604.1,84763.95,149692.26,138174.14
2001,4,265150.29,150167.27,86260.28,152259.93,140733.93
2002,1,269206.06,152603.12,87687.13,154712.09,143082.97
2002,2,273475.48,155109.57,89165.71,157231.94,145351.95
2002,3,277553.56,157550.75,90643.03,159693.08,147494.7
2002,4,281471.91,160054.09,92205.01,162228.49,149719.72
2003,1,286930.67,163274.63,94097.51,165524.15,152704.54
2003,2,292189.36,166436.94,95959.6,168759.94,155774.48
2003,3,297566.04,169758.12,97973.4,172162.01,159053.47
2003,4,303855.27,173523.24,100270.33,176025.32,162217.91
2004,1,310696.77,177543.48,102672.74,180131.94,165819.11
2004,2,318637.75,182246.47,105493.37,184949.31,169881.33
2004,3,327838.4,187636.51,108729.33,190487.91,174312.42
2004,4,336699.33,192898.52,111900.32,195863.25,178950.85
2005,1,345088.91,198095.87,115174.85,201177.7,183064.56
2005,2,353048.27,203071.58,118363.82,206292.46,186872.69
2005,3,362938.58,208997.27,122006.11,212382.01,192044.21
2005,4,372576.27,214779.48,125597.24,218339.58,197292.72
2006,1,380148.29,219365.95,128492.2,223058.58,201545.07
2006,2,385988.8,223034.58,130898.96,226795.49,204952.5
2006,3,389231.12,225211.48,132441.21,228990.98,206923.33
2006,4,390105.86,226026.46,133210.5,229811.59,207460.9
2007,1,390541.67,226526.44,133739.48,230325.9,207914.79
2007,2,390253.11,226590.16,134005.98,230400.74,207992.34
2007,3,388592.87,225812.08,133747.99,229600.11,207388.03
2007,4,385978.08,224365.8,132997.23,228078.9,206415.84
