region,year,quarter,top_tier_home_value,mid_tier_home_value,bottom_tier_home_value,single_family_home_value,condo_coop_value
Alabama; AL,1996,1,162483.0,83820.67,35836.0,83727.67,95427.67
Alabama; AL,1996,2,162943.67,84112.67,36068.67,84013.67,96402.67
Alabama; AL,1996,3,163771.0,84527.0,36372.67,84430.0,96737.67
Alabama; AL,1996,4,164731.0,84944.0,36619.33,84833.67,97877.33
Alabama; AL,1997,1,165707.33,85336.67,36854.0,85200.33,99261.33
Alabama; AL,1997,2,167503.33,86230.0,37280.33,86082.0,99680.33
Alabama; AL,1997,3,169440.0,87336.0,37794.67,87171.67,101150.0
Alabama; AL,1997,4,171668.33,88602.0,38499.33,88437.67,101591.33
Alabama; AL,1998,1,174400.0,90069.67,39246.0,89918.0,101946.0
Alabama; AL,1998,2,176287.67,91037.33,39818.0,90896.0,103309.33
Alabama; AL,1998,3,178155.0,91983.0,40369.0,91843.33,104300.0
Alabama; AL,1998,4,179811.67,92957.67,40830.0,92839.0,104306.67
Alabama; AL,1999,1,180903.0,93797.67,41251.0,93707.33,103919.33
Alabama; AL,1999,2,182309.33,94683.67,41741.0,94611.67,103673.67
Alabama; AL,1999,3,183629.0,95448.0,42152.0,95385.0,103935.67
Alabama; AL,1999,4,185325.0,96378.0,42622.0,96303.67,105564.0
Alabama; AL,2000,1,187148.33,97267.67,43142.33,97186.33,106732.33
Alabama; AL,2000,2,189025.0,98271.33,43665.33,98182.67,108193.67
Alabama; AL,2000,3,190947.0,99259.0,44182.67,99172.33,109093.0
Alabama; AL,2000,4,192773.0,100229.67,44684.67,100146.33,109899.67
Alabama; AL,2001,1,195302.67,101513.0,45294.33,101427.33,111369.33
Alabama; AL,2001,2,196977.0,102377.67,45713.33,102288.0,112547.0
Alabama; AL,2001,3,198249.33,103161.67,46129.33,103058.67,114230.67
Alabama; AL,2001,4,199578.33,103943.0,46538.33,103833.33,115433.33
Alabama; AL,2002,1,200025.0,104387.33,46728.0,104278.67,115819.33
Alabama; AL,2002,2,200955.33,104955.0,46980.67,104844.33,116491.67
Alabama; AL,2002,3,202324.67,105680.33,47257.0,105569.33,117378.67
Alabama; AL,2002,4,203677.0,106375.0,47509.0,106256.67,118603.67
Alabama; AL,2003,1,205390.0,107194.0,47880.0,107061.0,120450.67
Alabama; AL,2003,2,207249.67,108200.67,48320.67,108057.67,122047.33
Alabama; AL,2003,3,208684.0,108933.0,48614.67,108784.67,122984.67
Alabama; AL,2003,4,210057.67,109651.67,48869.33,109496.33,124274.33
Alabama; AL,2004,1,211595.33,110452.67,49181.0,110284.67,125996.33
Alabama; AL,2004,2,213796.67,111551.33,49661.33,111367.33,128255.33
Alabama; AL,2004,3,216501.0,112983.67,50373.0,112781.67,130939.33
Alabama; AL,2004,4,219321.33,114460.0,51124.67,114242.0,133644.67
Alabama; AL,2005,1,222183.33,115867.67,51826.33,115637.67,135975.0
Alabama; AL,2005,2,224395.33,116876.67,52324.33,116624.67,138710.0
Alabama; AL,2005,3,227575.67,118374.33,53000.33,118096.0,142117.33
Alabama; AL,2005,4,231731.67,120529.33,54025.67,120235.67,145095.33
Alabama; AL,2006,1,236799.33,123331.67,55331.67,123023.67,148479.33
Alabama; AL,2006,2,241674.67,126063.33,56682.0,125749.67,151254.33
Alabama; AL,2006,3,246228.67,128616.33,57958.0,128298.0,154096.67
Alabama; AL,2006,4,249537.67,130382.67,58885.33,130039.33,157811.67
Alabama; AL,2007,1,251534.33,131488.0,59577.33,131130.0,160325.67
Alabama; AL,2007,2,253814.33,132827.67,60307.0,132465.0,161691.33
Alabama; AL,2007,3,253823.0,133048.0,60460.0,132687.67,161332.0
Alabama; AL,2007,4,253649.0,133187.67,60513.67,132816.0,163046.0
Alabama; AL,2008,1,252603.33,132685.67,60292.0,132328.33,162342.67
Alabama; AL,2008,2,251071.33,132047.67,60032.67,131711.67,161356.0
Alabama; AL,2008,3,249922.0,131641.67,59942.67,131318.67,161850.67
Alabama; AL,2008,4,247440.33,130466.33,59521.67,130208.67,155428.67
Alabama; AL,2009,1,244435.0,129035.33,58853.0,128782.67,153164.0
Alabama; AL,2009,2,240762.33,127157.0,57904.67,126892.33,152413.33
Alabama; AL,2009,3,237680.33,125447.33,56994.33,125182.0,149347.0
Alabama; AL,2009,4,235273.0,124206.33,56380.33,123972.33,145366.0
Alabama; AL,2010,1,233524.67,123509.0,56112.0,123341.0,139668.67
Alabama; AL,2010,2,230954.33,122216.33,55562.33,122117.67,133447.67
Alabama; AL,2010,3,227842.67,120556.33,54838.33,120527.33,127296.67
Alabama; AL,2010,4,225258.33,119076.33,54100.0,119040.0,125947.67
