date,Money_supply,year,quarter,month,top_tier_home_value,mid_tier_home_value,bottom_tier_home_value,single_family_home_value,condo_coop_value
1996-01-01,3647.9,1996,1,1,203823.28,114909.11,64375.07,116736.33,105756.43
1996-02-01,3661.8,1996,1,2,203805.72,114922.83,64395.5,116743.15,105775.54
1996-03-01,3687.0,1996,1,3,203807.37,114954.04,64427.39,116771.89,105792.5
1996-04-01,3697.8,1996,2,4,203852.98,115038.41,64503.04,116847.37,105886.52
1996-05-01,3709.6,1996,2,5,203892.91,115136.8,64586.02,116935.09,105976.96
1996-06-01,3722.5,1996,2,6,203979.43,115264.02,64681.91,117045.37,106084.0
1996-07-01,3737.2,1996,3,7,204077.52,115396.15,64778.8,117161.89,106160.24
1996-08-01,3744.1,1996,3,8,204313.48,115585.7,64906.39,117339.43,106277.35
1996-09-01,3753.5,1996,3,9,204577.33,115781.96,65040.04,117530.37,106410.15
1996-10-01,3772.9,1996,4,10,204932.26,116008.61,65190.8,117753.72,106577.37
1996-11-01,3795.2,1996,4,11,205292.24,116238.33,65344.54,117981.24,106787.5
1996-12-01,3818.7,1996,4,12,205708.54,116488.98,65512.46,118232.33,107032.37
1997-01-01,3834.7,1997,1,1,206118.7,116702.2,65662.0,118455.33,107240.91
1997-02-01,3846.4,1997,1,2,206576.43,116949.26,65826.96,118715.78,107440.76
1997-03-01,3861.3,1997,1,3,207044.22,117205.65,65991.3,118980.7,107651.15
1997-04-01,3877.3,1997,2,4,207507.54,117501.3,66170.33,119279.76,107818.35
1997-05-01,3889.5,1997,2,5,208036.96,117808.39,66359.02,119591.43,108007.35
1997-06-01,3906.3,1997,2,6,208553.59,118105.8,66541.96,119894.87,108214.52
1997-07-01,3924.2,1997,3,7,209100.13,118420.46,66740.61,120212.52,108552.46
1997-08-01,3957.7,1997,3,8,209513.28,118670.83,66906.11,120463.48,108853.17
1997-09-01,3973.4,1997,3,9,209942.39,118931.22,67077.96,120723.67,109145.17
1997-10-01,3992.7,1997,4,10,210319.0,119183.13,67241.72,120975.48,109370.33
1997-11-01,4015.2,1997,4,11,210786.87,119480.41,67432.41,121276.7,109596.37
1997-12-01,4033.3,1997,4,12,211304.85,119811.09,67643.09,121613.59,109817.54
1998-01-01,4056.6,1998,1,1,211962.65,120252.17,67908.78,122054.52,110145.74
1998-02-01,4089.3,1998,1,2,212579.93,120674.61,68170.28,122474.43,110496.61
1998-03-01,4114.7,1998,1,3,213224.67,121100.89,68437.39,122896.98,110884.61
1998-04-01,4140.6,1998,2,4,213966.3,121556.19,68797.09,123320.68,111525.45
1998-05-01,4164.8,1998,2,5,214360.56,121917.1,69192.23,123640.56,114104.56
1998-06-01,4184.6,1998,2,6,215019.08,122267.65,69436.23,124022.92,114381.44
1998-07-01,4204.4,1998,3,7,215770.1,122644.42,69688.12,124437.73,114610.81
1998-08-01,4229.3,1998,3,8,216601.67,123095.19,69977.94,124924.54,114847.12
1998-09-01,4268.2,1998,3,9,217519.81,123605.79,70292.04,125461.23,115188.27
1998-10-01,4308.4,1998,4,10,218462.46,124136.06,70624.48,126015.75,115616.56
1998-11-01,4347.0,1998,4,11,219315.77,124609.44,70916.1,126506.79,116001.56
1998-12-01,4375.9,1998,4,12,220072.65,125036.19,71175.19,126941.44,116427.17
1999-01-01,4403.3,1999,1,1,220698.56,125414.25,71411.1,127316.54,116812.27
1999-02-01,4426.0,1999,1,2,221466.27,125863.65,71693.83,127763.17,117276.88
1999-03-01,4432.7,1999,1,3,222298.92,126352.71,72003.69,128256.15,117691.65
1999-04-01,4461.4,1999,2,4,223369.33,126935.77,72354.92,128851.29,118164.33
1999-05-01,4486.0,1999,2,5,224395.17,127488.94,72689.88,129413.98,118644.75
1999-06-01,4507.8,1999,2,6,225537.29,128101.4,73049.96,130027.15,119247.48
1999-07-01,4535.2,1999,3,7,226670.79,128725.35,73417.44,130653.56,119821.85
1999-08-01,4552.4,1999,3,8,227745.77,129294.9,73757.69,131230.08,120337.92
1999-09-01,4568.4,1999,3,9,228734.79,129819.79,74079.08,131763.15,120784.9
1999-10-01,4592.2,1999,4,10,229738.29,130343.62,74399.4,132295.71,121289.15
1999-11-01,4611.2,1999,4,11,230966.79,131006.35,74807.96,132969.21,121900.1
1999-12-01,4638.7,1999,4,12,232283.27,131705.56,75237.08,133690.83,122451.79
2000-01-01,4666.9,2000,1,1,233750.62,132462.25,75694.73,134478.31,123058.08
2000-02-01,4680.1,2000,1,2,235169.04,133199.02,76125.0,135241.27,123671.54
2000-03-01,4710.8,2000,1,3,236595.9,133939.81,76558.9,135997.9,124402.96
2000-04-01,4766.8,2000,2,4,237908.25,134651.4,76982.73,136714.94,125112.62
2000-05-01,4754.6,2000,2,5,239266.85,135390.6,77425.29,137459.48,125860.12
2000-06-01,4772.4,2000,2,6,240562.35,136117.65,77856.98,138194.73,126581.92
2000-07-01,4790.0,2000,3,7,241885.25,136854.79,78291.27,138936.12,127361.21
