Money_supply,year,quarter,month,region,top_tier_home_value,mid_tier_home_value,bottom_tier_home_value,single_family_home_value,condo_coop_value
3647.9,1996,1,1,California; CA,298761.0,162802.0,95133.0,164835.0,148081.0
3647.9,1996,1,1,Arizona; AZ,180666.0,108485.0,68132.0,110624.0,77950.0
3647.9,1996,1,1,West Virginia; WV,122708.0,60690.0,24376.0,60501.0,83782.0
3647.9,1996,1,1,Wisconsin; WI,164158.0,99882.0,59075.0,99653.0,103215.0
3647.9,1996,1,1,Arkansas; AR,133887.0,69437.0,30703.0,69263.0,86096.0
3647.9,1996,1,1,Washington; WA,235391.0,140648.0,89276.0,142348.0,120534.0
3647.9,1996,1,1,Vermont; VT,184544.0,108531.0,65918.0,109194.0,104456.0
3647.9,1996,1,1,Virginia; VA,225059.0,121021.0,65896.0,121787.0,114766.0
3647.9,1996,1,1,Utah; UT,257626.0,159362.0,104228.0,161121.0,145965.0
3647.9,1996,1,1,Texas; TX,186613.0,97827.0,53999.0,98153.0,93155.0
3647.9,1996,1,1,Tennessee; TN,170011.0,89991.0,44078.0,89332.0,106099.0
3647.9,1996,1,1,South Carolina; SC,182714.0,97482.0,48975.0,97488.0,91852.0
3647.9,1996,1,1,Rhode Island; RI,210799.0,126774.0,84665.0,128946.0,104928.0
3647.9,1996,1,1,Pennsylvania; PA,178141.0,96975.0,49910.0,97406.0,91262.0
3647.9,1996,1,1,Oregon; OR,207516.0,128373.0,82512.0,129011.0,116748.0
3647.9,1996,1,1,Oklahoma; OK,125311.0,64126.0,29538.0,64343.0,47060.0
3647.9,1996,1,1,Ohio; OH,169158.0,92957.0,47422.0,93245.0,91064.0
3647.9,1996,1,1,New York; NY,290035.0,139851.0,62920.0,121072.0,166992.0
3647.9,1996,1,1,Nevada; NV,243402.0,157768.0,102847.0,163191.0,94633.0
3647.9,1996,1,1,New Jersey; NJ,286544.0,163189.0,94791.0,168488.0,124574.0
3647.9,1996,1,1,Alabama; AL,162339.0,83725.0,35763.0,83631.0,95217.0
3647.9,1996,1,1,New Hampshire; NH,179628.0,107611.0,65156.0,111820.0,81302.0
3647.9,1996,1,1,Nebraska; NE,142195.0,84064.0,45847.0,83871.0,99154.0
3647.9,1996,1,1,North Carolina; NC,202233.0,110044.0,57372.0,110743.0,94286.0
3647.9,1996,1,1,Mississippi; MS,127274.0,72609.0,36912.0,72464.0,86362.0
