Date,Money Supply,S&P 500,DOW,NASDAQ
1980-02-01,1494.6,115.12,881.48,162.3
1980-04-01,1502.2,102.18,784.47,133.14
1980-05-01,1512.3,105.46,808.79,139.68
1980-07-01,1545.5,114.93,872.27,158.17
1980-08-01,1561.5,121.21,931.48,172.49
1980-10-01,1584.8,127.13,939.42,189.62
1980-12-01,1599.8,137.21,969.45,204.91
1981-04-01,1659.2,136.57,1014.14,211.34
1981-05-01,1664.2,132.72,995.59,216.68
1981-06-01,1670.3,132.41,997.96,223.02
1981-07-01,1681.9,129.77,967.66,214.63
1981-09-01,1706.0,123.02,882.71,195.17
1981-10-01,1721.8,117.08,852.26,181.09
1981-12-01,1755.5,126.1,890.22,201.13
1982-02-01,1774.5,117.78,851.69,186.82
1982-03-01,1786.5,113.31,828.39,180.13
1982-04-01,1803.9,113.79,833.24,177.31
1982-06-01,1826.0,111.68,814.97,177.36
1982-07-01,1831.5,108.71,803.27,170.6
1982-09-01,1858.4,118.25,895.05,177.3
1982-10-01,1869.7,121.97,907.74,188.7
1982-11-01,1883.7,135.47,1005.7,214.52
1982-12-01,1905.9,138.72,1031.09,235.59
1983-02-01,1996.8,142.96,1059.79,248.15
1983-03-01,2015.2,150.88,1130.71,261.82
1983-06-01,2053.5,162.55,1202.21,307.95
1983-07-01,2064.8,168.64,1225.26,321.58
1983-08-01,2074.0,162.04,1194.21,302.08
1983-09-01,2083.2,164.23,1206.81,294.55
1983-11-01,2112.3,163.66,1229.27,273.04
1983-12-01,2123.5,166.49,1275.1,286.07
1984-02-01,2158.2,162.74,1212.31,266.43
1984-03-01,2175.2,158.19,1159.44,253.5
1984-05-01,2204.1,161.68,1183.0,250.26
1984-06-01,2215.1,153.24,1124.35,235.9
1984-08-01,2230.4,154.08,1134.61,233.35
1984-10-01,2258.9,164.62,1198.98,247.86
1984-11-01,2281.4,167.49,1217.09,248.0
1985-02-01,2354.1,178.63,1277.72,278.4
1985-03-01,2366.2,183.23,1299.36,287.2
1985-04-01,2375.4,181.27,1272.75,280.3
1985-05-01,2389.5,178.37,1242.05,279.6
1985-07-01,2429.5,192.43,1337.14,296.5
1985-08-01,2444.0,192.11,1355.62,304.0
1985-10-01,2468.0,185.07,1340.95,281.8
1985-11-01,2477.8,191.53,1390.25,294.1
1986-04-01,2557.8,235.14,1790.11,374.2
1986-05-01,2584.8,235.16,1777.78,381.7
1986-07-01,2626.6,252.04,1903.54,407.6
1986-08-01,2646.5,234.91,1763.64,370.7
1986-10-01,2687.4,233.6,1782.9,352.3
1986-12-01,2728.0,249.05,1912.54,357.9
1987-04-01,2767.7,292.38,2316.05,428.3
1987-05-01,2772.9,288.03,2280.4,418.4
1987-06-01,2774.6,289.83,2288.23,415.0
