M2SL,Corporate Bonds
286.6,4.12
287.7,4.14
289.2,4.13
290.1,4.23
292.2,4.37
294.1,4.46
295.2,4.47
296.4,4.43
296.7,4.52
296.5,4.57
297.1,4.56
297.8,4.58
298.2,4.61
298.4,4.56
299.3,4.49
300.1,4.45
300.9,4.46
302.3,4.45
304.1,4.41
306.9,4.28
308.4,4.25
309.5,4.3
310.9,4.31
312.4,4.35
314.1,4.32
316.5,4.27
318.3,4.22
319.9,4.25
322.2,4.27
324.3,4.33
325.6,4.41
327.6,4.45
329.5,4.45
331.1,4.42
333.4,4.39
335.5,4.42
337.5,4.42
340.1,4.42
343.1,4.39
345.5,4.33
347.5,4.28
349.3,4.28
350.8,4.34
352.8,4.35
354.9,4.32
357.2,4.28
359.8,4.25
362.7,4.24
365.2,4.21
367.9,4.19
370.7,4.19
373.3,4.21
376.1,4.22
378.4,4.23
381.1,4.26
383.6,4.29
386.0,4.31
388.3,4.32
391.5,4.33
393.2,4.35
395.2,4.39
397.6,4.36
399.8,4.38
401.7,4.4
404.2,4.41
407.1,4.41
410.1,4.4
413.4,4.41
416.9,4.42
419.1,4.42
422.0,4.43
424.7,4.44
427.5,4.43
430.4,4.41
433.2,4.42
435.4,4.43
437.1,4.44
440.1,4.46
442.9,4.48
445.8,4.49
449.5,4.52
452.6,4.56
455.7,4.6
459.2,4.68
462.0,4.74
464.6,4.78
467.2,4.92
469.3,4.96
470.1,4.98
471.2,5.07
470.9,5.16
472.6,5.31
475.4,5.49
475.7,5.41
477.3,5.35
480.2,5.39
481.6,5.2
485.1,5.03
489.7,5.13
492.1,5.11
497.2,5.24
502.0,5.44
506.3,5.58
510.8,5.62
514.7,5.65
518.2,5.82
521.2,6.07
524.8,6.19
527.4,6.17
530.4,6.1
533.2,6.11
535.7,6.21
538.9,6.27
542.6,6.28
545.6,6.24
549.4,6.02
553.6,5.97
557.6,6.09
562.4,6.19
566.8,6.45
569.3,6.59
571.9,6.66
574.4,6.85
575.7,6.89
576.5,6.79
578.5,6.98
579.5,7.08
580.1,6.97
582.1,7.14
583.4,7.33
585.4,7.35
587.9,7.72
589.6,7.91
586.3,7.93
587.3,7.84
588.4,7.83
591.5,8.11
595.2,8.48
599.1,8.44
604.9,8.13
611.2,8.09
616.4,8.03
621.1,8.05
626.5,7.64
632.9,7.36
641.0,7.08
649.9,7.21
658.4,7.25
666.7,7.53
673.0,7.64
679.6,7.64
685.5,7.59
692.5,7.44
698.4,7.39
704.6,7.26
710.3,7.25
717.7,7.19
