date,Money_supply,region,top_tier_home_value,mid_tier_home_value,bottom_tier_home_value,single_family_home_value,condo_coop_value,Crisis_type
2001-08-01,5237.1,Alabama; AL,1982.22,1031.57,461.26,1030.52,1143.44,Nine_eleven
2009-02-01,8304.5,Alabama; AL,2443.79,1290.17,588.46,1287.65,1528.67,Financial_crisis
2009-01-01,8275.3,Alabama; AL,2456.04,1296.03,591.51,1293.63,1530.43,Financial_crisis
2020-08-01,18381.8,Alabama; AL,2779.84,1538.64,723.15,1530.27,1908.27,Pandemic
2008-12-01,8194.1,Alabama; AL,2464.65,1300.03,593.54,1297.68,1533.24,Financial_crisis
2008-11-01,8017.9,Alabama; AL,2475.56,1305.28,595.55,1302.74,1551.18,Financial_crisis
2020-09-01,18605.0,Alabama; AL,2802.75,1535.04,715.74,1527.99,1922.8,Pandemic
2008-10-01,7967.2,Alabama; AL,2483.0,1308.68,596.56,1305.84,1578.44,Financial_crisis
2008-09-01,7859.1,Alabama; AL,2492.69,1313.45,598.36,1310.38,1602.81,Financial_crisis
2001-05-01,5132.9,Alabama; AL,1970.03,1023.82,457.16,1022.94,1124.54,Nine_eleven
2008-08-01,7789.2,Alabama; AL,2499.37,1316.47,599.51,1313.21,1623.9,Financial_crisis
2020-02-01,15473.4,Alabama; AL,2684.38,1445.63,667.31,1439.62,1803.83,Pandemic
2008-07-01,7774.2,Alabama; AL,2505.6,1319.33,600.41,1315.97,1628.81,Financial_crisis
2008-06-01,7727.8,Alabama; AL,2508.22,1319.92,600.19,1316.51,1625.54,Financial_crisis
2008-05-01,7710.3,Alabama; AL,2509.99,1320.14,600.13,1316.8,1609.82,Financial_crisis
2020-11-01,18960.2,Alabama; AL,2856.72,1560.68,727.7,1554.15,1943.1,Pandemic
2020-07-01,18320.0,Alabama; AL,2761.7,1533.89,713.53,1525.2,1920.09,Pandemic
2008-04-01,7698.2,Alabama; AL,2513.93,1321.37,600.66,1318.04,1605.32,Financial_crisis
2001-02-01,5014.1,Alabama; AL,1953.21,1015.28,452.97,1014.42,1114.01,Nine_eleven
2009-04-01,8373.7,Alabama; AL,2419.52,1277.93,582.34,1275.26,1532.24,Financial_crisis
2020-01-01,15410.0,Alabama; AL,2671.03,1438.19,663.7,1432.24,1789.29,Pandemic
2009-12-01,8496.4,Alabama; AL,2346.6,1239.51,562.57,1237.34,1434.88,Financial_crisis
2020-03-01,16014.3,Alabama; AL,2699.38,1456.21,671.91,1450.17,1791.19,Pandemic
2001-03-01,5071.9,Alabama; AL,1960.44,1018.85,454.65,1017.97,1118.77,Nine_eleven
2009-11-01,8501.6,Alabama; AL,2352.06,1241.68,563.57,1239.34,1454.26,Financial_crisis
2020-04-01,17042.9,Alabama; AL,2713.85,1464.46,675.88,1458.32,1808.11,Pandemic
2009-10-01,8471.5,Alabama; AL,2359.53,1245.0,565.27,1242.49,1471.84,Financial_crisis
2009-09-01,8444.6,Alabama; AL,2367.87,1249.31,567.39,1246.69,1483.17,Financial_crisis
2009-08-01,8445.4,Alabama; AL,2376.69,1254.44,569.87,1251.76,1493.7,Financial_crisis
2020-05-01,17893.0,Alabama; AL,2727.53,1472.74,679.87,1466.51,1825.91,Pandemic
2009-07-01,8445.8,Alabama; AL,2385.85,1259.67,572.57,1257.01,1503.54,Financial_crisis
2009-06-01,8440.9,Alabama; AL,2395.24,1265.02,575.64,1262.4,1512.93,Financial_crisis
2009-05-01,8431.4,Alabama; AL,2408.11,1271.76,579.16,1269.11,1527.23,Financial_crisis
2020-06-01,18179.6,Alabama; AL,2737.56,1481.66,687.12,1475.48,1851.26,Pandemic
2001-04-01,5135.9,Alabama; AL,1965.1,1021.31,455.83,1020.43,1121.62,Nine_eleven
2009-03-01,8370.4,Alabama; AL,2433.22,1284.86,585.62,1282.2,1535.82,Financial_crisis
2008-03-01,7655.3,Alabama; AL,2519.7,1323.83,601.87,1320.4,1610.98,Financial_crisis
2020-10-01,18751.1,Alabama; AL,2828.77,1546.79,719.14,1540.34,1916.97,Pandemic
2020-12-01,19131.4,Alabama; AL,2891.99,1584.27,742.28,1577.22,1959.45,Pandemic
2021-03-01,19914.0,Alabama; AL,2994.7,1641.56,778.6,1634.23,2046.88,Pandemic
2007-08-01,7384.2,Alabama; AL,2538.44,1330.57,604.63,1326.98,1610.95,Financial_crisis
2007-06-01,7277.5,Alabama; AL,2540.48,1329.81,604.04,1326.19,1614.87,Financial_crisis
2007-09-01,7402.5,Alabama; AL,2537.56,1331.33,605.11,1327.71,1616.92,Financial_crisis
2021-04-01,20119.9,Alabama; AL,3026.34,1659.1,786.9,1651.77,2061.83,Pandemic
2001-01-01,4975.8,Alabama; AL,1945.43,1011.26,451.21,1010.43,1108.3,Nine_eleven
2001-12-01,5433.5,Alabama; AL,1998.42,1041.32,466.29,1040.22,1156.34,Nine_eleven
2021-02-01,19667.9,Alabama; AL,2958.75,1620.37,760.38,1613.43,1986.85,Pandemic
2007-10-01,7416.1,Alabama; AL,2537.55,1332.16,605.47,1328.5,1622.72,Financial_crisis
2001-07-01,5203.2,Alabama; AL,1978.4,1029.01,459.92,1028.04,1135.98,Nine_eleven
2001-11-01,5380.4,Alabama; AL,1996.32,1039.72,465.57,1038.62,1154.88,Nine_eleven
2007-12-01,7471.1,Alabama; AL,2535.51,1331.56,604.75,1327.8,1636.36,Financial_crisis
2007-11-01,7441.0,Alabama; AL,2536.41,1331.91,605.19,1328.18,1632.3,Financial_crisis
2007-07-01,7307.8,Alabama; AL,2538.69,1329.54,604.06,1325.94,1612.09,Financial_crisis
2008-02-01,7589.5,Alabama; AL,2526.52,1327.08,602.97,1323.5,1625.71,Financial_crisis
2001-09-01,5348.2,Alabama; AL,1986.86,1034.27,462.7,1033.2,1147.5,Nine_eleven
2001-10-01,5336.8,Alabama; AL,1992.61,1037.25,464.29,1036.16,1151.78,Nine_eleven
2021-05-01,20371.9,Alabama; AL,3062.37,1678.1,795.94,1670.76,2074.98,Pandemic
2008-01-01,7504.8,Alabama; AL,2531.88,1329.66,603.92,1325.95,1633.59,Financial_crisis
2021-01-01,19396.5,Alabama; AL,2930.17,1607.79,756.04,1600.53,1984.3,Pandemic
2001-06-01,5173.2,Alabama; AL,1974.18,1026.2,458.41,1025.27,1130.25,Nine_eleven
2020-01-01,15410.0,Alaska; AK,4377.32,3075.45,1903.47,3206.55,2127.35,Pandemic
2007-06-01,7277.5,Alaska; AK,3620.75,2608.47,1485.85,2653.81,1817.08,Financial_crisis
2009-05-01,8431.4,Alaska; AK,3662.0,2663.61,1520.72,2715.41,1848.66,Financial_crisis
2009-06-01,8440.9,Alaska; AK,3653.75,2659.51,1518.46,2711.16,1845.73,Financial_crisis
2001-12-01,5433.5,Alaska; AK,2545.0,1789.66,1007.44,1826.66,1213.44,Nine_eleven
2009-10-01,8471.5,Alaska; AK,3620.1,2638.7,1505.89,2689.28,1825.81,Financial_crisis
