date,z_Money_supply,z_top_tier_home_value,z_mid_tier_home_value,z_bottom_tier_home_value,z_single_family_home_value,z_condo_coop_value
1996-01-01,-1.2832452123527849,-1.7518480437625616,-1.7024154854160098,-1.6830298656742346,-1.6926352169788845,-1.778344318456865
1996-02-01,-1.279808125231467,-1.752094002602135,-1.7021090498065474,-1.682317072384234,-1.6924869214228409,-1.777842046929933
1996-03-01,-1.2735768593712367,-1.7520708914355465,-1.7014119757998913,-1.6812044449726764,-1.6918619926426794,-1.7773962842351778
1996-04-01,-1.2709063168597092,-1.7514320427639665,-1.699527575481353,-1.6785650513168495,-1.6902207391866402,-1.774925139862485
1996-05-01,-1.2679885018934107,-1.7508727525325223,-1.6973300390662651,-1.6756699173371996,-1.688313336521513,-1.7725480892661618
1996-06-01,-1.2647986872268644,-1.7496608869972217,-1.694488585842081,-1.6723243594038584,-1.6859153843337544,-1.769734737919076
1996-07-01,-1.2611637821417299,-1.7482869631604478,-1.6915374679792337,-1.6689439119311145,-1.6833817482354803,-1.7677309084468988
1996-08-01,-1.2594576022038095,-1.7449819262706001,-1.6873038768878634,-1.6644923555987026,-1.6795212800507262,-1.7646528854998023
1996-09-01,-1.2571332411289617,-1.7412862406315675,-1.6829204182353057,-1.6598293686575092,-1.6753694393658272,-1.761162479493702
1996-10-01,-1.2523361555064034,-1.736314818596843,-1.6778582002407976,-1.6545694216971327,-1.6705128686264734,-1.7567674065092131
1996-11-01,-1.2468219797650089,-1.73127266238559,-1.6727274139284285,-1.6492055039093358,-1.6655656245046118,-1.7512445223671804
1996-12-01,-1.2410110770778893,-1.7254416450214456,-1.6671291569669306,-1.643346852452806,-1.6601058692015256,-1.7448085606298775
1997-01-01,-1.2370547178015523,-1.719696629210546,-1.662366897444367,-1.6381294707305012,-1.655256908937922,-1.7393274667404783
1997-02-01,-1.234161630080731,-1.7132853114635136,-1.656848822978348,-1.6323740923106038,-1.649593627769063,-1.7340747736657858
1997-03-01,-1.2304772705046423,-1.7067330856341283,-1.6511223633639118,-1.6266403454051366,-1.6438331499527676,-1.7285450558975366
1997-04-01,-1.2265209112283055,-1.7002434700560467,-1.644519033339308,-1.620394071165841,-1.6373303245875959,-1.7241505085766025
1997-05-01,-1.2235041872800987,-1.692828007137658,-1.6376601914071063,-1.6138107639759138,-1.630553304653258,-1.719182987980571
1997-06-01,-1.219350010039945,-1.68559169077725,-1.6310175518582568,-1.607428071637553,-1.6239552396201284,-1.7137379020446986
1997-07-01,-1.2149238330995433,-1.6779364319970447,-1.6239896343018836,-1.6004972646351734,-1.6170481892715467,-1.7048557649535718
1997-08-01,-1.206640205864713,-1.6721495359509333,-1.6183976311283341,-1.5947230458639987,-1.6115912607165963,-1.6969521505703304
1997-09-01,-1.2027580283248076,-1.6661390918934555,-1.6125818316860663,-1.5887272785176156,-1.6059336330440088,-1.6892774626653502
1997-10-01,-1.1979856699477263,-1.6608640031365247,-1.6069554326788014,-1.583013767545002,-1.6004582219050938,-1.6833595423616334
