region,year,top_tier_home_value,mid_tier_home_value,bottom_tier_home_value,single_family_home_value,condo_coop_value
Alabama; AL,1996,163482.17,84351.08,36224.17,84251.25,96611.33
Alabama; AL,1997,168579.75,86876.17,37607.08,86722.92,100420.75
Alabama; AL,1998,177163.58,91511.92,40065.75,91374.08,103465.5
Alabama; AL,1999,183041.58,95076.83,41941.5,95001.92,104273.17
Alabama; AL,2000,189973.33,98756.92,43918.75,98671.92,108479.67
Alabama; AL,2001,197526.83,102748.83,45918.83,102651.83,113395.08
Alabama; AL,2002,201745.5,105349.42,47118.67,105237.25,117073.33
Alabama; AL,2003,207845.33,108494.83,48421.17,108349.92,122439.25
Alabama; AL,2004,215303.58,112361.92,50085.0,112168.92,129708.92
Alabama; AL,2005,226471.5,117912.0,52794.17,117648.5,140474.42
Alabama; AL,2006,243560.08,127098.5,57214.25,126777.67,152910.5
Alabama; AL,2007,253205.17,132637.83,60214.5,132274.67,161598.75
Alabama; AL,2008,250259.25,131710.33,59947.25,131391.83,160244.5
Alabama; AL,2009,239537.67,126461.5,57533.08,126207.33,150072.58
Alabama; AL,2010,229395.0,121339.5,55153.17,121256.5,131590.17
Alabama; AL,2011,219575.75,115664.67,52475.0,115613.5,121503.67
Alabama; AL,2012,216293.33,113744.25,51821.83,113639.75,120744.67
Alabama; AL,2013,219403.08,115177.08,52564.5,114970.25,125438.33
Alabama; AL,2014,223742.5,117386.0,53672.17,117138.33,128213.58
Alabama; AL,2015,228062.17,119957.58,54855.83,119670.08,132435.83
Alabama; AL,2016,233298.42,123093.58,56291.42,122749.92,137642.42
Alabama; AL,2017,239904.58,127158.92,58306.58,126825.08,143111.42
Alabama; AL,2018,249854.58,133191.58,61229.75,132745.67,157392.92
Alabama; AL,2019,260084.33,139701.0,64416.5,139121.75,174220.08
Alabama; AL,2020,276295.83,150485.0,69894.42,149812.58,187002.25
Alabama; AL,2021,299446.6,164138.4,77557.2,163414.4,203096.8
Alaska; AK,1996,194921.08,128521.33,74392.42,132103.08,114718.5
Alaska; AK,1997,198951.92,132443.5,76175.25,135753.75,119104.58
Alaska; AK,1998,202136.33,139046.17,78611.83,140080.67,123751.17
Alaska; AK,1999,210653.5,150665.17,84048.67,150568.17,129055.42
Alaska; AK,2000,214095.67,153402.75,85192.0,154518.25,121274.75
Alaska; AK,2001,240626.75,170010.25,95721.75,173241.92,118033.58
Alaska; AK,2002,259751.0,182853.17,102779.67,186389.75,126287.92
Alaska; AK,2003,272731.17,192397.58,108268.5,195877.5,133371.75
Alaska; AK,2004,292035.67,207509.92,116938.08,211420.0,141939.25
Alaska; AK,2005,318512.5,226816.75,127956.75,231288.17,155418.92
Alaska; AK,2006,345181.67,246524.25,139688.92,251061.5,170923.17
Alaska; AK,2007,361892.25,260755.75,148560.5,265385.17,181774.5
Alaska; AK,2008,366885.0,265734.0,151575.92,270808.33,183418.67
Alaska; AK,2009,364465.67,265327.83,151426.25,270414.33,183739.17
Alaska; AK,2010,364200.33,265652.08,151987.58,270663.5,184201.5
Alaska; AK,2011,359010.25,262641.75,150736.83,268064.58,181230.17
Alaska; AK,2012,364150.25,266393.08,152710.5,272269.67,184555.17
Alaska; AK,2013,374046.92,273614.92,157122.33,280475.17,188773.5
Alaska; AK,2014,384437.17,281793.0,162243.75,289046.83,194280.42
Alaska; AK,2015,396088.17,291121.17,168501.08,299092.58,197456.67
Alaska; AK,2016,401542.5,296423.08,171802.5,304735.75,198969.92
Alaska; AK,2017,401855.25,297900.42,173572.92,306691.75,196851.83
Alaska; AK,2018,405115.5,299957.92,174731.5,309103.42,197582.42
Alaska; AK,2019,425466.33,311129.17,183805.75,321777.58,206414.08
Alaska; AK,2020,430110.67,294979.33,189185.83,308423.25,215585.92
Alaska; AK,2021,437597.4,296250.2,191710.8,309934.4,223737.8
Arizona; AZ,1996,184590.75,111060.5,69899.33,113264.33,79662.92
Arizona; AZ,1997,191990.83,115799.17,73390.0,118084.75,83011.42
Arizona; AZ,1998,200731.17,121196.17,77292.0,123629.25,86538.0
Arizona; AZ,1999,211789.5,127920.92,81922.42,130619.67,90268.83
Arizona; AZ,2000,225122.08,135932.25,87362.75,138855.25,94811.25
Arizona; AZ,2001,237836.0,143540.17,92891.92,146656.5,99030.67
Arizona; AZ,2002,249798.25,150860.42,98186.0,154138.33,103273.42
Arizona; AZ,2003,264627.5,159638.83,104256.5,163120.17,109037.75
Arizona; AZ,2004,290988.58,174576.67,114236.75,178457.0,118670.33
Arizona; AZ,2005,380237.67,226922.75,146859.83,232374.17,152231.0
Arizona; AZ,2006,458879.42,276225.33,179049.25,282749.67,185042.42
Arizona; AZ,2007,439459.33,263973.92,175994.92,269707.83,181178.0
Arizona; AZ,2008,369769.17,219253.58,146760.42,223755.17,155446.92
Arizona; AZ,2009,301596.0,175595.33,113792.83,179190.17,125126.58
Arizona; AZ,2010,276702.92,158990.5,102006.33,162843.83,107356.08
Arizona; AZ,2011,248847.67,140907.0,89607.5,144709.33,91201.33
Arizona; AZ,2012,265133.75,151284.5,96848.42,155534.67,96260.92
Arizona; AZ,2013,305571.5,178156.42,116402.75,183142.0,113458.25
Arizona; AZ,2014,326357.5,192981.5,127808.42,198382.58,122566.25
Arizona; AZ,2015,338873.33,202522.25,135088.0,208157.58,128552.92
Arizona; AZ,2016,355871.17,215947.75,145197.25,221867.25,136951.75
Arizona; AZ,2017,374827.17,230860.58,156699.92,236880.25,148208.42
Arizona; AZ,2018,400067.58,248478.67,170093.33,254605.58,162352.25
Arizona; AZ,2019,421482.92,263366.08,181937.92,269467.67,175343.92
Arizona; AZ,2020,457509.25,288277.0,200379.08,294536.0,193610.92
Arizona; AZ,2021,522689.8,329216.6,229173.0,335830.0,219425.4
Arkansas; AR,1996,134726.08,70054.67,31097.92,69880.75,86153.5
Arkansas; AR,1997,138712.67,72424.0,32345.17,72246.75,87581.75
Arkansas; AR,1998,142597.5,75291.33,34051.92,75107.0,89858.67
Arkansas; AR,1999,145390.25,77184.08,35389.17,76997.58,91355.83
Arkansas; AR,2000,149779.58,79736.0,36796.5,79544.08,93940.08
Arkansas; AR,2001,156409.5,83414.42,38827.83,83214.92,97945.42
Arkansas; AR,2002,160867.17,85854.17,40196.08,85651.75,100393.92
Arkansas; AR,2003,167116.33,89555.42,42083.08,89343.08,104783.33
Arkansas; AR,2004,176696.42,94530.75,44748.17,94309.25,110177.42
Arkansas; AR,2005,189307.08,101521.5,48374.33,101282.83,118501.33
Arkansas; AR,2006,200768.67,108293.58,51650.08,108029.67,128312.92
Arkansas; AR,2007,203721.75,110980.67,53017.42,110698.08,134065.5
Arkansas; AR,2008,201487.0,110604.08,52908.75,110334.17,132712.75
Arkansas; AR,2009,194382.58,106836.08,51332.92,106627.25,125031.42
Arkansas; AR,2010,191834.42,105296.92,50537.83,105091.58,123159.92
Arkansas; AR,2011,187146.75,102303.33,49270.33,102121.83,119290.42
Arkansas; AR,2012,188814.0,103245.58,49802.67,103063.17,120335.92
Arkansas; AR,2013,192455.17,105574.5,50966.0,105374.92,124410.0
Arkansas; AR,2014,194519.75,107123.0,51758.83,106932.08,125221.92
Arkansas; AR,2015,198451.17,109753.67,53124.58,109567.33,127465.67
Arkansas; AR,2016,204245.58,113530.33,54952.67,113336.75,131181.5
Arkansas; AR,2017,211332.75,118230.67,57192.5,118020.42,136647.92
Arkansas; AR,2018,219484.25,123708.83,59877.17,123493.42,140939.17
Arkansas; AR,2019,227219.08,128819.67,62532.0,128580.08,147284.17
Arkansas; AR,2020,241763.67,137188.5,66116.25,136940.25,154002.75
Arkansas; AR,2021,259104.0,143977.8,68352.4,143623.6,169455.4
California; CA,1996,297362.67,162071.08,94543.42,164189.83,146554.0
California; CA,1997,306321.33,164996.17,95962.25,167348.83,147970.0
California; CA,1998,334791.67,177996.75,103110.0,180511.58,161044.92
California; CA,1999,366985.08,194055.67,111699.75,196637.08,177355.42
California; CA,2000,414848.92,217711.58,124317.92,220392.42,200621.92
California; CA,2001,473999.42,248212.75,141294.92,251009.67,230898.42
California; CA,2002,521466.25,279351.92,159611.25,282628.17,260248.33
California; CA,2003,595007.17,325781.67,187363.83,329843.33,302436.75
California; CA,2004,712566.83,397012.0,229844.17,402148.17,367172.42
California; CA,2005,853469.25,482355.58,284801.08,489522.17,439148.0
California; CA,2006,922576.42,527273.58,315379.83,535872.58,473498.25
California; CA,2007,884382.0,504295.33,300459.0,512489.58,453099.67
California; CA,2008,746444.42,411708.83,239589.33,416721.0,382790.0
California; CA,2009,632656.75,336579.25,188028.5,339246.0,324177.92
California; CA,2010,631836.75,334618.17,184980.17,338000.25,317151.33
California; CA,2011,595434.42,315413.17,174826.17,319480.92,292053.75
California; CA,2012,596303.67,313983.25,174971.67,318603.75,285833.08
California; CA,2013,705258.17,374307.33,210479.25,379633.17,342294.75
California; CA,2014,785221.92,422107.0,242720.0,428014.67,387115.5
California; CA,2015,835644.08,446898.08,258897.33,452941.17,410700.42
California; CA,2016,894681.75,479506.42,279179.67,485970.08,440381.08
California; CA,2017,952207.42,513245.75,301276.0,520299.75,470637.92
California; CA,2018,1030046.83,551319.58,325673.83,558242.0,508996.5
California; CA,2019,1037737.5,559861.0,334444.25,567489.5,512769.08
California; CA,2020,1077842.0,586382.33,351824.67,595487.25,528626.67
California; CA,2021,1178455.4,645841.2,390965.8,658350.2,564443.2
Colorado; CO,1996,236135.08,143299.0,90039.25,147280.08,109527.58
Colorado; CO,1997,247126.92,150778.83,95931.17,154787.42,115447.0
Colorado; CO,1998,261213.0,159588.92,102259.92,163718.67,122824.0
Colorado; CO,1999,285278.67,173875.42,111862.08,178405.58,134134.92
Colorado; CO,2000,318614.83,194040.75,124637.08,199030.67,150739.42
Colorado; CO,2001,355461.08,217135.42,139052.42,222619.25,169827.25
Colorado; CO,2002,372011.08,228444.58,146768.17,234115.25,178910.92
Colorado; CO,2003,377326.5,232801.08,150246.58,238590.17,181091.58
Colorado; CO,2004,385937.33,237746.83,153897.75,243787.5,183891.17
Colorado; CO,2005,399641.17,244705.08,158810.75,251064.75,187416.67
